File1	File2	File1_Lines	File2_Lines	Merged_Lines	Merge_Rate
Adipose	Spleen	5831	7084	10536	0.1842
Spleen	Adipose	7084	5831	10536	0.1842
Adipose	Stomach	5831	7747	11292	0.1683
Stomach	Adipose	7747	5831	11292	0.1683
Colon	Stomach	14492	7747	18527	0.1669
Stomach	Colon	7747	14492	18527	0.1669
B-cell	T-cell	4102	2611	5604	0.1652
T-cell	B-cell	2611	4102	5604	0.1652
Adipose	Heart	5831	8264	11807	0.1623
Heart	Adipose	8264	5831	11807	0.1623
Adipose	Lung	5831	2812	7254	0.1607
Lung	Adipose	2812	5831	7254	0.1607
T-cell	Thymus	2611	1724	3653	0.1573
Thymus	T-cell	1724	2611	3653	0.1573
Lung	Spleen	2812	7084	8396	0.1515
Spleen	Lung	7084	2812	8396	0.1515
Colon	Spleen	14492	7084	18343	0.1498
Spleen	Colon	7084	14492	18343	0.1498
Adipose	Adrenal	5831	6853	10790	0.1493
Adrenal	Adipose	6853	5831	10790	0.1493
Pancreas	Stomach	5425	7747	11242	0.1465
Stomach	Pancreas	7747	5425	11242	0.1465
Esophagus	Stomach	8850	7747	14205	0.1441
Stomach	Esophagus	7747	8850	14205	0.1441
Spleen	Stomach	7084	7747	12756	0.1399
Stomach	Spleen	7747	7084	12756	0.1399
Heart	Stomach	8264	7747	13783	0.1391
Stomach	Heart	7747	8264	13783	0.1391
Adrenal	Spleen	6853	7084	12027	0.1370
Heart	Spleen	8264	7084	13245	0.1370
Spleen	Adrenal	7084	6853	12027	0.1370
Spleen	Heart	7084	8264	13245	0.1370
Adrenal	Stomach	6853	7747	12639	0.1343
Stomach	Adrenal	7747	6853	12639	0.1343
Adrenal	Heart	6853	8264	13102	0.1332
Heart	Adrenal	8264	6853	13102	0.1332
Adipose	Esophagus	5831	8850	12742	0.1320
Esophagus	Adipose	8850	5831	12742	0.1320
Adipose	Ovary	5831	3538	8137	0.1314
Ovary	Adipose	3538	5831	8137	0.1314
Spleen	T-cell	7084	2611	8427	0.1307
T-cell	Spleen	2611	7084	8427	0.1307
B-cell	Thymus	4102	1724	5072	0.1294
Thymus	B-cell	1724	4102	5072	0.1294
Colon	Esophagus	14492	8850	20326	0.1292
Esophagus	Colon	8850	14492	20326	0.1292
Lung	Stomach	2812	7747	9205	0.1282
Stomach	Lung	7747	2812	9205	0.1282
Adipose	Pancreas	5831	5425	9828	0.1268
Pancreas	Adipose	5425	5831	9828	0.1268
Liver	Stomach	8540	7747	14275	0.1235
Stomach	Liver	7747	8540	14275	0.1235
Adipose	Colon	5831	14492	17838	0.1222
Colon	Adipose	14492	5831	17838	0.1222
B-cell	Spleen	4102	7084	9835	0.1207
Spleen	B-cell	7084	4102	9835	0.1207
Esophagus	Spleen	8850	7084	14027	0.1196
Spleen	Esophagus	7084	8850	14027	0.1196
Adrenal	Ovary	6853	3538	9161	0.1183
Ovary	Adrenal	3538	6853	9161	0.1183
Ovary	Stomach	3538	7747	9962	0.1172
Stomach	Ovary	7747	3538	9962	0.1172
Adrenal	Esophagus	6853	8850	13879	0.1161
Esophagus	Adrenal	8850	6853	13879	0.1161
Adipose	Breast	5831	6032	10491	0.1156
Breast	Adipose	6032	5831	10491	0.1156
Adrenal	Lung	6853	2812	8560	0.1143
Lung	Adrenal	2812	6853	8560	0.1143
Lung	Ovary	2812	3538	5631	0.1132
Ovary	Lung	3538	2812	5631	0.1132
Colon	Liver	14492	8540	20432	0.1128
Liver	Colon	8540	14492	20432	0.1128
Esophagus	Heart	8850	8264	15195	0.1121
Heart	Esophagus	8264	8850	15195	0.1121
Breast	Esophagus	6032	8850	13225	0.1113
Esophagus	Breast	8850	6032	13225	0.1113
Lung	T-cell	2812	2611	4822	0.1108
T-cell	Lung	2611	2812	4822	0.1108
Breast	Stomach	6032	7747	12259	0.1103
Stomach	Breast	7747	6032	12259	0.1103
Heart	Lung	8264	2812	9858	0.1099
Lung	Heart	2812	8264	9858	0.1099
Lung	Thymus	2812	1724	4045	0.1082
Thymus	Lung	1724	2812	4045	0.1082
Adipose	Liver	5831	8540	12820	0.1079
Liver	Adipose	8540	5831	12820	0.1079
Spleen	Thymus	7084	1724	7864	0.1071
Thymus	Spleen	1724	7084	7864	0.1071
Esophagus	Lung	8850	2812	10428	0.1058
Lung	Esophagus	2812	8850	10428	0.1058
Colon	Heart	14492	8264	20358	0.1053
Heart	Colon	8264	14492	20358	0.1053
Breast	Ovary	6032	3538	8563	0.1052
Ovary	Breast	3538	6032	8563	0.1052
Adrenal	Liver	6853	8540	13794	0.1038
Liver	Adrenal	8540	6853	13794	0.1038
Ovary	Spleen	3538	7084	9526	0.1031
Spleen	Ovary	7084	3538	9526	0.1031
Adrenal	Pancreas	6853	5425	11018	0.1026
Pancreas	Adrenal	5425	6853	11018	0.1026
Adrenal	Colon	6853	14492	19181	0.1013
Colon	Adrenal	14492	6853	19181	0.1013
Heart	Ovary	8264	3538	10613	0.1007
Ovary	Heart	3538	8264	10613	0.1007
Esophagus	Ovary	8850	3538	11168	0.0984
Ovary	Esophagus	3538	8850	11168	0.0984
Liver	Pancreas	8540	5425	12595	0.0981
Pancreas	Liver	5425	8540	12595	0.0981
Breast	Heart	6032	8264	12896	0.0979
Heart	Breast	8264	6032	12896	0.0979
Breast	Spleen	6032	7084	11844	0.0969
Spleen	Breast	7084	6032	11844	0.0969
Ovary	T-cell	3538	2611	5554	0.0967
T-cell	Ovary	2611	3538	5554	0.0967
Colon	Lung	14492	2812	15637	0.0963
Lung	Colon	2812	14492	15637	0.0963
Ovary	Pancreas	3538	5425	8100	0.0962
Pancreas	Ovary	5425	3538	8100	0.0962
Liver	Spleen	8540	7084	14122	0.0961
Spleen	Liver	7084	8540	14122	0.0961
Colon	Pancreas	14492	5425	18004	0.0960
Pancreas	Colon	5425	14492	18004	0.0960
Adipose	Thymus	5831	1724	6830	0.0959
Thymus	Adipose	1724	5831	6830	0.0959
Adrenal	Breast	6853	6032	11650	0.0958
Breast	Adrenal	6032	6853	11650	0.0958
Heart	Liver	8264	8540	15197	0.0956
Liver	Heart	8540	8264	15197	0.0956
Ovary	Thymus	3538	1724	4762	0.0950
Thymus	Ovary	1724	3538	4762	0.0950
Breast	Colon	6032	14492	18586	0.0944
Colon	Breast	14492	6032	18586	0.0944
Pancreas	Spleen	5425	7084	11333	0.0940
Spleen	Pancreas	7084	5425	11333	0.0940
Breast	Lung	6032	2812	8015	0.0937
Esophagus	Liver	8850	8540	15760	0.0937
Liver	Esophagus	8540	8850	15760	0.0937
Lung	Breast	2812	6032	8015	0.0937
Colon	T-cell	14492	2611	15507	0.0933
T-cell	Colon	2611	14492	15507	0.0933
B-cell	Lung	4102	2812	6273	0.0927
Lung	B-cell	2812	4102	6273	0.0927
Heart	Pancreas	8264	5425	12425	0.0923
Pancreas	Heart	5425	8264	12425	0.0923
B-cell	Colon	4102	14492	16882	0.0920
Colon	B-cell	14492	4102	16882	0.0920
Lung	Pancreas	2812	5425	7482	0.0916
Pancreas	Lung	5425	2812	7482	0.0916
Liver	Lung	8540	2812	10334	0.0896
Lung	Liver	2812	8540	10334	0.0896
Esophagus	Pancreas	8850	5425	13018	0.0880
Pancreas	Esophagus	5425	8850	13018	0.0880
Adipose	T-cell	5831	2611	7701	0.0877
T-cell	Adipose	2611	5831	7701	0.0877
Stomach	T-cell	7747	2611	9457	0.0869
T-cell	Stomach	2611	7747	9457	0.0869
Breast	T-cell	6032	2611	7898	0.0861
T-cell	Breast	2611	6032	7898	0.0861
B-cell	Ovary	4102	3538	7006	0.0829
Ovary	B-cell	3538	4102	7006	0.0829
Adipose	B-cell	5831	4102	9125	0.0813
B-cell	Adipose	4102	5831	9125	0.0813
Breast	Pancreas	6032	5425	10525	0.0813
Pancreas	Breast	5425	6032	10525	0.0813
B-cell	Stomach	4102	7747	10911	0.0791
Stomach	B-cell	7747	4102	10911	0.0791
B-cell	Breast	4102	6032	9334	0.0789
Breast	B-cell	6032	4102	9334	0.0789
Breast	Liver	6032	8540	13471	0.0755
Liver	Breast	8540	6032	13471	0.0755
Esophagus	T-cell	8850	2611	10600	0.0751
T-cell	Esophagus	2611	8850	10600	0.0751
Liver	Ovary	8540	3538	11192	0.0733
Ovary	Liver	3538	8540	11192	0.0733
Colon	Placenta	14492	13878	26340	0.0715
Placenta	Colon	13878	14492	26340	0.0715
Adrenal	T-cell	6853	2611	8789	0.0713
Heart	T-cell	8264	2611	10099	0.0713
T-cell	Adrenal	2611	6853	8789	0.0713
T-cell	Heart	2611	8264	10099	0.0713
Colon	Ovary	14492	3538	16752	0.0708
Ovary	Colon	3538	14492	16752	0.0708
Stomach	Thymus	7747	1724	8801	0.0707
Thymus	Stomach	1724	7747	8801	0.0707
Pancreas	T-cell	5425	2611	7473	0.0700
T-cell	Pancreas	2611	5425	7473	0.0700
B-cell	Esophagus	4102	8850	12075	0.0677
Esophagus	B-cell	8850	4102	12075	0.0677
Adrenal	B-cell	6853	4102	10214	0.0676
B-cell	Adrenal	4102	6853	10214	0.0676
B-cell	Heart	4102	8264	11532	0.0674
Heart	B-cell	8264	4102	11532	0.0674
Placenta	Stomach	13878	7747	20192	0.0662
Stomach	Placenta	7747	13878	20192	0.0662
Heart	Thymus	8264	1724	9356	0.0632
Thymus	Heart	1724	8264	9356	0.0632
Breast	Placenta	6032	13878	18662	0.0626
Placenta	Breast	13878	6032	18662	0.0626
Pancreas	Thymus	5425	1724	6702	0.0625
Thymus	Pancreas	1724	5425	6702	0.0625
Esophagus	Placenta	8850	13878	21308	0.0624
Placenta	Esophagus	13878	8850	21308	0.0624
Adrenal	Thymus	6853	1724	8043	0.0622
Thymus	Adrenal	1724	6853	8043	0.0622
Breast	Thymus	6032	1724	7274	0.0621
Thymus	Breast	1724	6032	7274	0.0621
Liver	T-cell	8540	2611	10466	0.0614
T-cell	Liver	2611	8540	10466	0.0614
B-cell	Pancreas	4102	5425	8951	0.0604
Pancreas	B-cell	5425	4102	8951	0.0604
Adipose	Placenta	5831	13878	18542	0.0592
Placenta	Adipose	13878	5831	18542	0.0592
Colon	Thymus	14492	1724	15293	0.0569
Thymus	Colon	1724	14492	15293	0.0569
Adrenal	Placenta	6853	13878	19559	0.0565
Placenta	Adrenal	13878	6853	19559	0.0565
Pancreas	Placenta	5425	13878	18250	0.0545
Placenta	Pancreas	13878	5425	18250	0.0545
Esophagus	Thymus	8850	1724	10001	0.0541
Thymus	Esophagus	1724	8850	10001	0.0541
Placenta	Spleen	13878	7084	19834	0.0538
Spleen	Placenta	7084	13878	19834	0.0538
B-cell	Liver	4102	8540	11963	0.0537
Liver	B-cell	8540	4102	11963	0.0537
Heart	Placenta	8264	13878	20967	0.0530
Placenta	Heart	13878	8264	20967	0.0530
Lung	Thyroid	2812	2195	4751	0.0511
Thyroid	Lung	2195	2812	4751	0.0511
Liver	Placenta	8540	13878	21277	0.0508
Placenta	Liver	13878	8540	21277	0.0508
Ovary	Thyroid	3538	2195	5444	0.0504
Thyroid	Ovary	2195	3538	5444	0.0504
Adipose	Thyroid	5831	2195	7634	0.0488
Thyroid	Adipose	2195	5831	7634	0.0488
Ovary	Placenta	3538	13878	16596	0.0470
Placenta	Ovary	13878	3538	16596	0.0470
Stomach	Thyroid	7747	2195	9485	0.0459
Thyroid	Stomach	2195	7747	9485	0.0459
Liver	Thymus	8540	1724	9800	0.0452
Thymus	Liver	1724	8540	9800	0.0452
Lung	Placenta	2812	13878	15955	0.0440
Placenta	Lung	13878	2812	15955	0.0440
Heart	Thyroid	8264	2195	10000	0.0438
Thyroid	Heart	2195	8264	10000	0.0438
Adrenal	Thyroid	6853	2195	8673	0.0414
Thyroid	Adrenal	2195	6853	8673	0.0414
Thymus	Thyroid	1724	2195	3764	0.0395
Thyroid	Thymus	2195	1724	3764	0.0395
Esophagus	Thyroid	8850	2195	10624	0.0381
Pancreas	Thyroid	5425	2195	7329	0.0381
Thyroid	Esophagus	2195	8850	10624	0.0381
Thyroid	Pancreas	2195	5425	7329	0.0381
Spleen	Thyroid	7084	2195	8926	0.0380
Thyroid	Spleen	2195	7084	8926	0.0380
Breast	Thyroid	6032	2195	7940	0.0348
Thyroid	Breast	2195	6032	7940	0.0348
Placenta	T-cell	13878	2611	15934	0.0336
T-cell	Placenta	2611	13878	15934	0.0336
Placenta	Thymus	13878	1724	15081	0.0333
Thymus	Placenta	1724	13878	15081	0.0333
B-cell	Placenta	4102	13878	17388	0.0329
Placenta	B-cell	13878	4102	17388	0.0329
T-cell	Thyroid	2611	2195	4653	0.0318
Thyroid	T-cell	2195	2611	4653	0.0318
Liver	Thyroid	8540	2195	10416	0.0297
Thyroid	Liver	2195	8540	10416	0.0297
B-cell	Thyroid	4102	2195	6131	0.0263
Thyroid	B-cell	2195	4102	6131	0.0263
Colon	Thyroid	14492	2195	16283	0.0242
Thyroid	Colon	2195	14492	16283	0.0242
Placenta	Thyroid	13878	2195	15811	0.0163
Thyroid	Placenta	2195	13878	15811	0.0163
Adipose	Adipose	5831	5831	5831	0.0000
Adrenal	Adrenal	6853	6853	6853	0.0000
B-cell	B-cell	4102	4102	4102	0.0000
Breast	Breast	6032	6032	6032	0.0000
Colon	Colon	14492	14492	14492	0.0000
Esophagus	Esophagus	8850	8850	8850	0.0000
Heart	Heart	8264	8264	8264	0.0000
Liver	Liver	8540	8540	8540	0.0000
Lung	Lung	2812	2812	2812	0.0000
Ovary	Ovary	3538	3538	3538	0.0000
Pancreas	Pancreas	5425	5425	5425	0.0000
Placenta	Placenta	13878	13878	13878	0.0000
Spleen	Spleen	7084	7084	7084	0.0000
Stomach	Stomach	7747	7747	7747	0.0000
T-cell	T-cell	2611	2611	2611	0.0000
Thymus	Thymus	1724	1724	1724	0.0000
Thyroid	Thyroid	2195	2195	2195	0.0000
